"","X1","X2","factor.cl.cluster.","NES.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_kras","NES.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_tar","NES.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_wt","NES.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_kras","NES.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_tar","NES.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_wt","NES.TCGA.LUAD.KRAS_G12C.KEAP1_co_kras","NES.TCGA.LUAD.KRAS_G12C.KEAP1_co_tar","NES.TCGA.LUAD.KRAS_G12C.KEAP1_co_wt","NES.TCGA.LUAD.KRAS_G12C.MAPK_pathway_co_tar","NES.TCGA.LUAD.KRAS_G12C.MAPK_pathway_co_wt","NES.TCGA.LUAD.KRAS_G12C.PTPRD_co_kras","NES.TCGA.LUAD.KRAS_G12C.PTPRD_co_tar","NES.TCGA.LUAD.KRAS_G12C.PTPRD_co_wt","NES.TCGA.LUAD.KRAS_G12C.RBM10_co_kras","NES.TCGA.LUAD.KRAS_G12C.RBM10_co_tar","NES.TCGA.LUAD.KRAS_G12C.RBM10_co_wt","NES.TCGA.LUAD.KRAS_G12C.STK11_co_kras","NES.TCGA.LUAD.KRAS_G12C.STK11_co_tar","NES.TCGA.LUAD.KRAS_G12C.STK11_co_wt","NES.TCGA.LUAD.KRAS_G12C.TP53_co_kras","NES.TCGA.LUAD.KRAS_G12C.TP53_co_tar","NES.TCGA.LUAD.KRAS_G12C.TP53_co_wt","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_kras","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_tar","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_wt","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_kras","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_tar","NES.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_wt","NES.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_kras","NES.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_tar","NES.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_wt","NES.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_kras","NES.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_tar","NES.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_wt","Padj.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_kras","Padj.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_tar","Padj.TCGA.LUAD.KRAS_G12C.Chromatin_Regulation_pathway_co_wt","Padj.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_kras","Padj.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_tar","Padj.TCGA.LUAD.KRAS_G12C.DDR_pathway_co_wt","Padj.TCGA.LUAD.KRAS_G12C.KEAP1_co_kras","Padj.TCGA.LUAD.KRAS_G12C.KEAP1_co_tar","Padj.TCGA.LUAD.KRAS_G12C.KEAP1_co_wt","Padj.TCGA.LUAD.KRAS_G12C.MAPK_pathway_co_tar","Padj.TCGA.LUAD.KRAS_G12C.MAPK_pathway_co_wt","Padj.TCGA.LUAD.KRAS_G12C.PTPRD_co_kras","Padj.TCGA.LUAD.KRAS_G12C.PTPRD_co_tar","Padj.TCGA.LUAD.KRAS_G12C.PTPRD_co_wt","Padj.TCGA.LUAD.KRAS_G12C.RBM10_co_kras","Padj.TCGA.LUAD.KRAS_G12C.RBM10_co_tar","Padj.TCGA.LUAD.KRAS_G12C.RBM10_co_wt","Padj.TCGA.LUAD.KRAS_G12C.STK11_co_kras","Padj.TCGA.LUAD.KRAS_G12C.STK11_co_tar","Padj.TCGA.LUAD.KRAS_G12C.STK11_co_wt","Padj.TCGA.LUAD.KRAS_G12C.TP53_co_kras","Padj.TCGA.LUAD.KRAS_G12C.TP53_co_tar","Padj.TCGA.LUAD.KRAS_G12C.TP53_co_wt","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_kras","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_tar","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.STK11_trip_wt","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_kras","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_tar","Padj.TCGA.LUAD.trips.KRAS_G12C.KEAP1.TP53_trip_wt","Padj.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_kras","Padj.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_tar","Padj.TCGA.LUAD.trips.KRAS_G12C.PIK3CA.TP53_trip_wt","Padj.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_kras","Padj.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_tar","Padj.TCGA.LUAD.trips.KRAS_G12C.PTPRD.STK11_trip_wt"
"KEGG_RETINOL_METABOLISM",16.3097969543363,-4.11583992741384,"10",1.67486281327969,-1.79535055905836,-1.87477980866556,-2.29091599065992,-2.06358452147244,-2.22578429320024,1.48452138117804,-1.52845572158095,-1.4146990530046,-1.77237698384513,-1.92786949288699,-1.26817631937494,-1.45419236621639,-1.87736447171701,1.93338420723317,1.10257674295454,-1.26894418617282,1.18279086974932,-1.10130340503737,-1.51686230409482,-2.12435533342045,-2.11977959423202,-2.22189098639548,1.34495667018095,1.2206397549023,-1.2937462244085,-1.46558505254584,-1.82173667607448,-1.84379963826782,-1.75528651886204,-1.54160001723398,-1.93852037393417,0.795855718972353,1.19865575440154,-1.17295177866973,0.0369623596778891,0.000247052521899084,0.0015399763418525,2.74333321902333e-06,5.79549965078016e-07,1.14559549038378e-09,0.100184680136555,0.259208893762891,0.160010357946736,0.00142470632165705,0.00048657779356158,0.319847494553377,0.119925271731848,0.00507925784657726,0.00305505182244993,0.785494568874363,0.570531978481769,0.422814923070677,0.933479853479854,0.0615548201163069,3.26297413082226e-05,2.34630227415092e-06,1.98068121843726e-08,0.188889300670793,0.342662749342817,0.20586504815285,0.199943501404459,0.0141562118091959,0.0214950659391902,0.0101790736269412,0.159726352106994,0.000733223047372944,0.993975169575283,0.382751937984496,0.443244019596891
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",16.3218695175076,-3.01148602268972,"10",1.62788115524331,-1.61906599451233,-1.629488388589,-2.24753342999352,-1.9842241453122,-2.08949802245166,2.0265333128677,-1.6459818446847,1.19047081186535,-1.71391569708964,-1.70718937961955,-1.23546226635599,-1.28657932429477,-1.87763879984806,2.21317308392677,1.51183071753822,-1.1335322774721,1.57626382048316,-0.848934389368339,-1.35155840623421,-2.36743003434515,-2.12313549087485,-2.32142054778163,2.04713736517794,1.31418072263447,1.30403329251221,-1.57860334117596,-1.99803995757854,-1.88463076005862,-2.23230644505754,-1.98002801829819,-2.37047124569115,1.3319046987863,1.42410903506272,-0.962401042714098,0.0411139576243421,0.0113569208494727,0.0457634151422176,4.27482799773694e-06,6.52808193797257e-06,8.37711017856001e-07,0.000767735163915424,0.0763273086166216,0.40493281106509,0.00293673480063718,0.00934468896115396,0.322979979657149,0.294448822722905,0.00331675542315417,6.36247170197966e-05,0.122530320579082,0.734799826949316,0.0755321638633269,1,0.260527089252474,4.23502699523199e-08,1.50788726635758e-08,5.84282238049948e-11,8.49330023045896e-05,0.241612989801396,0.209284960550439,0.118105742795547,0.00052749027287505,0.00337220424200268,4.56433184631232e-06,0.00112499045698309,1.51762044672902e-10,0.196845583714246,0.112095652629767,0.773906414782888
"BIOCARTA_DC_PATHWAY",-8.62531313782683,-14.985110728958,"1",1.59240734011455,0.864755054920052,-1.32938468509676,-0.914468709746039,-0.752100003771004,-1.31049003176446,-1.56602266219323,0.789251543891209,-1.41140826497098,-0.787694281879306,-1.3918812019546,1.90076283281627,1.55579639339706,1.38319430519998,1.52545769339735,0.986095225193601,0.95868592075199,-1.6898852618424,-1.12779454621479,-1.72823241513982,1.08459445372307,0.986464867892754,0.658236885594769,-1.74110132274405,-1.35793367461135,-1.77350593690769,1.51576742712329,1.85160584062735,0.984027430294276,1.58271765948228,1.47766728340126,1.13304772486643,0.982815390062306,1.54811174650066,-0.606846231669427,0.0914997805694038,0.874799357945425,0.375872063198933,0.800270576939862,0.997292401707753,0.288525708386336,0.126302358376576,0.999319701753632,0.291721111652852,1,0.246687670657425,0.0138878742379162,0.248294165138807,0.399977314460285,0.43010970464135,0.873638981173865,0.949001485393629,0.0772238728791599,0.933479853479854,0.0206692603648011,0.626954732510288,0.783166731692879,0.972631005413259,0.0081139749669049,0.293669224555735,0.00788864816618632,0.347880690737834,0.0727440474681388,0.835603461754237,0.127354349785891,0.493937232524964,0.539027027027027,0.760263017593744,0.129796649787489,1
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",16.4903961669827,-3.53070399067678,"10",1.57453142015033,-1.53769982313118,-1.88923693579953,-2.43662033916767,-2.02395916202985,-2.19345539657034,1.77689030994798,-1.57092196439059,-1.04627656388124,-1.61523408969869,-1.99224658083739,-1.32756421687215,-1.27715570501357,-1.88327027376824,2.07168943774161,1.33602940370501,-1.04151713308007,1.57019229016034,-0.850015174309079,-1.36326900701292,-2.33454648841029,-2.11204002273789,-2.33361546130744,1.82636024056341,1.22049031953185,1.03237569621833,-1.97762168579807,-1.96529287219422,-2.16706899133648,-2.03374393688764,-1.71518820739642,-2.20862455377176,1.22037550054719,1.40595638099588,-0.859816594154482,0.0849186015893531,0.0354689323107568,0.000924937717691084,4.04671057620186e-08,1.81454589516519e-06,3.9061189449457e-09,0.00951290179498283,0.135119481981362,0.604089050431622,0.0145025147533824,5.06321552925791e-05,0.237714944442665,0.3002799860007,0.00326019053274449,0.00079171227133246,0.399694762400277,0.885446009389671,0.0641743419566598,1,0.252449305080884,1.28812243157597e-07,1.97506885577432e-08,3.34290666647844e-12,0.0013899125927758,0.34295010221416,0.558865416567766,0.00319819224729279,0.000893735513333172,2.38043451819968e-05,0.000278630543651024,0.0300300960019084,2.17121892989308e-07,0.43862708310341,0.125513295977083,0.925344721136036
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",15.8315693389798,-4.19796225331106,"10",1.56468277074298,-1.51581388026883,-1.51503904643811,-2.02781764602462,-1.96593030004067,-1.94462433849378,1.58833976643974,-1.63696973606224,-1.32635388723996,-1.73148421958806,-1.35031601334169,-1.32899876057414,-1.20777075337481,-1.75546308406898,1.59329187515289,-1.04444395646535,-1.22054634808464,1.37513665357661,-0.985340094697784,-1.51404376171226,-2.12533540176324,-2.00794596091345,-2.13362074914726,1.71236301571799,-0.928972651108094,-1.02833867768209,-1.54807170861811,-1.84736973968715,-1.83649912594256,-2.16234157924114,-1.98586240257527,-2.0911035777837,-0.845112874365255,1.05631507413124,-1.29280133781416,0.0914997805694038,0.0552455949429085,0.127292679734079,0.000857973436143452,2.63432271504089e-05,0.000157591060220108,0.0454799097925893,0.186955673322742,0.291721111652852,0.00301858963113542,0.225475676347891,0.265175579826813,0.399495374264087,0.0342546552665278,0.0877574837997133,0.863645811681563,0.621793103448276,0.237265874828689,0.9903610857817,0.114996229878065,0.000155992253238924,4.79032107444394e-06,1.97389037146451e-06,0.0186896011707805,0.742570019017944,0.589874950674232,0.118577342760517,0.0141562118091959,0.0152655089408621,0.00010266877811116,0.00141043656316894,5.8979577091273e-05,0.974441630209533,0.54446997046275,0.276144436140422
"KEGG_ECM_RECEPTOR_INTERACTION",1.20842319244393,-11.7782520940093,"2",1.50306159920103,-1.00121599331045,-1.60816432525703,-0.943521702992026,-1.0156345799591,-1.4383960518546,-2.11813438114212,-1.19067422887181,-1.94718082665684,-0.900012242814743,-1.38984853610273,2.34691830183157,1.47649254625095,1.91537500644696,-1.83600195033364,-1.6859879676284,-1.56965082977846,-2.02671397017558,-1.08887111507303,-1.72819970676391,1.0245639697326,-1.19753302607437,-0.956950484230281,-2.0500295568784,-1.77604715039992,-1.96635573525373,-1.26958742706899,-0.725147120802695,-1.34435325721964,-1.24497846024957,-1.08459478435371,-1.35905791102504,1.16771098907377,2.08608326720162,0.965319385181798,0.0903228180954763,0.829857797023728,0.0334797032100062,0.814065692283514,0.858898891966759,0.0866635591187639,1.16862195452227e-05,0.770856102003643,0.000119281790660978,0.98774126238915,0.106620977276144,4.88226655639767e-07,0.0730475026807226,0.00439567301204845,0.00322840323163696,0.0230830491336207,0.0390581197184863,3.98931742167107e-05,0.917843428712994,0.00256817063930037,0.649338718618833,0.468873564672761,0.75897296316458,1.45395207180191e-06,0.0030060632540247,1.76803299498928e-05,0.426810477657935,0.978215788933374,0.277805003134082,0.315020217904077,0.807980271983879,0.21025947843998,0.426457479051524,0.000115986266187439,0.773247640088371
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",15.5942904006864,-3.85717627308645,"10",1.49216627506998,-1.73140149019333,-1.66902799730295,-1.63295633859141,-2.10720016017235,-1.97040300259008,1.22128771116386,-1.4336317279536,-1.26669280634309,-1.7230967489891,-1.53256971984619,-1.24774685559706,-1.48788868179585,-1.89455302874256,1.19845728240242,-0.786507781190979,-1.27575938348076,1.19815373000661,-1.04938349962661,-1.53583737256423,-1.88858905976211,-2.06656967766482,-1.94401922198341,1.30105737855942,1.12848218523676,-1.05245884880121,-1.22237565956112,-1.73455463846446,-1.43051628603074,-1.50475388642481,-1.45423505637527,-1.67369389310697,1.05636709738327,1.41637778919422,-0.647634993188511,0.109072439858093,0.00482198992448495,0.0334080922656324,0.054487710017691,5.79549965078016e-07,4.64404304095001e-05,0.343612334801762,0.35446289331254,0.332476725398169,0.00360485514455474,0.0939625666168805,0.343672456575682,0.122233659289758,0.00695482389633773,0.729876753081173,0.98951562033133,0.570531978481769,0.410241969128077,0.938748123550016,0.120540393388462,0.00284495245629133,7.83933719306046e-07,0.000320461783897073,0.230996215280005,0.468637651736243,0.556309208033346,0.522507508607428,0.0382513768539708,0.233047282517247,0.117133869070149,0.361256019261637,0.0392579072269925,0.650399713637991,0.110130339008326,1
"BIOCARTA_FIBRINOLYSIS_PATHWAY",8.10270371550569,-11.287395923355,"8",1.48769630746259,-1.20860845213276,-0.734994212579408,-0.838781866910246,-1.17592571281506,-1.04366743090758,-1.16240550616992,-0.962362706175071,-1.33799187061782,-0.813483224903745,1.30695699433468,0.943937087504834,1.35298940433002,-0.897796061531308,0.903488661839165,-0.634488887502929,-0.764717596664624,0.986695147070223,0.945266815955221,-1.36315115775536,-1.80771628629694,-1.66888523328727,-1.58957188300967,-0.945262113779122,-0.73156308824448,-1.30098059073672,-1.79571133064216,-1.89261419420408,-1.7384158530429,-1.86686518160027,-1.22816738475592,-1.56497743149393,-0.600900961023051,1.01707665150183,-0.794621177473041,0.172692746984812,0.576802059496567,0.932610255741127,0.870010131712259,0.677401696925463,0.593856376014664,0.479497019678289,0.991755167294736,0.348315592466955,0.99129016064257,0.355128205128205,0.688016356821022,0.329293874180207,0.792305930844974,0.953092334494773,1,1,0.708654269366197,0.996944967566436,0.338217338217338,0.017524222590721,0.0198639858898453,0.128971730767474,0.663523889408652,0.891414927852175,0.311415812976097,0.0217558931585799,0.0189750917174586,0.104604545076378,0.0101790736269412,0.715620031796502,0.157344711301499,1,0.641361256544503,0.954724409448819
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",2.44608261698732,-9.92630430958547,"2",1.43643333575786,1.60998093514285,1.11100905641043,-1.04008053872383,1.28630449024381,-0.98124397996411,-1.60307484684928,-0.65837703497679,-1.27721321117942,1.29300237129122,-1.11099475873342,1.82770007287791,1.87365529270347,2.02797162347886,-0.966709783652929,-0.692392295615926,-0.676888703186393,-1.53242730837135,1.19288717731313,-1.1751216510859,-1.04665823367527,-0.75055028862779,-1.11039531684449,-1.43513689790815,-1.18483983439269,-1.3983898923567,-1.106681328095,0.90361104527131,-1.05834313697872,-1.18500081375453,0.630858001471956,-1.12987310589291,-0.870570894006556,1.84387518991112,-0.943844419531556,0.126957459200775,0.0340703304058468,0.453130121271714,0.668657533564772,0.295137564354273,0.6701366692384,0.0454799097925893,0.999319701753632,0.309919233593231,0.21167704617518,0.498156640589875,0.00243163419455741,0.005861438255492,0.00193425354704937,0.943325207915113,1,1,0.0772238728791599,0.774298082869511,0.554667004625816,0.630476016063417,0.956521739130435,0.544533494631786,0.0685548533506532,0.436841229848025,0.114514354897054,0.625115401185811,0.923333333333333,0.752411575562701,0.398071529564472,1,0.462651251543383,0.95471854752838,0.00318583567513879,0.821798188874515
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.25029430275908,-10.6396422078399,"2",1.433684374409,0,-1.14448253766172,0.928933261100684,-0.831262355923572,-0.841158136426553,-2.27062478194812,-0.82837670308756,-1.91387926121305,-0.684094683428813,-1.18927768182468,2.90452395790535,2.28200362074954,0,-2.06122007517881,-1.56444297082897,-1.53920751192889,-1.86667019746525,1.18477936609674,-1.58751581404762,1.59885684280719,0,1.45944838601351,-2.18193674691228,-1.5480216338729,-2.06455266012246,-1.13637746491017,-0.59500799132253,-1.35316515667188,-0.678944546254587,0.934051279329767,-0.86509686634263,1.9434368124262,2.48094651177918,1.87044819688206,0.0498660687615201,1,0.402413931546723,0.855598455598456,0.997292401707753,0.910612217927115,1.543271264674e-10,0.999319701753632,5.04104221557443e-07,1,0.308248713312004,8.96690316449165e-23,4.89795384420078e-11,1,1.27514128883664e-08,0.00757821658766968,0.00681341954299649,8.84371466066587e-06,0.515552474368021,0.00126930836847334,0.00187738610129974,1,0.00484084923425935,1.24178290424873e-11,0.012283785191803,1.60490544621114e-10,0.51855003403676,1,0.121988708794186,1,0.957292327203551,0.926810296931909,1.75353798756742e-06,2.11143741685485e-16,8.18255885758039e-07
"BIOCARTA_UCALPAIN_PATHWAY",-3.20644316559783,-10.5994553258208,"4",1.35158814562764,-0.81376517015714,-0.92387225612637,0.714913957530514,-1.07612615230316,-1.30756868921332,-1.40122330357384,-0.710426960482351,-1.20358348482952,-0.956841835482403,-0.687345455561367,1.71663175755482,1.57294152631196,1.6338424458221,-0.730856438663458,0.988047984717593,-0.700421607093062,-1.50985815947172,-0.661431662271981,-1.35190895110726,1.35110411078239,1.3220632453412,1.11752616846075,-1.38603264487719,-1.31219576415503,-1.46126797562576,-0.611671556130334,-0.51569280763514,-0.663631599501236,1.39733671568256,1.55642751409931,1.53983171456058,1.45431787560471,2.07744586874795,1.77660897938652,0.316086332811685,0.943202218178241,0.785527772555409,0.939577028944624,0.780494239732653,0.296177492649024,0.200054166290512,0.999319701753632,0.507806031933767,0.961149101635827,0.941074636037058,0.054915171592355,0.236762134000203,0.161142211977231,0.989980461552368,0.873638981173865,1,0.198949636201898,1,0.349638620880451,0.304570919943453,0.425834485482915,0.545479720408823,0.230057914914759,0.336815342950312,0.158964662257113,0.966417910447761,0.998462761728068,0.981554551026662,0.283282303274446,0.35845084670574,0.168045883447968,0.296774193548387,0.00323250944281673,0.049053997832761
"REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS",5.52602686995515,-12.4556584050445,"8",1.33167024034663,-1.06856547045582,-1.55517362364563,0.711469361674001,-0.746535004827126,-1.59316624157567,-1.56533770797466,-1.25625960651623,-1.64324246743559,-1.20057878669406,-1.75001221548081,1.64944530053302,1.07828143416737,-0.856580449595201,-1.27370662219495,-1.00670692346004,-1.28406697252516,-1.85017925543853,-1.58741852997953,-1.57701779710343,0.834040761543951,-0.662083614357531,-1.78406417250547,-1.67374132134712,-1.38640988145794,-1.59693350343029,-1.07815500127566,-0.611795758479008,-1.29134456042808,-1.21257997063047,-1.32582345366723,-1.54138338762701,-1.38526082942429,-1.27413237225545,-1.36340651427845,0.36683828343551,0.795935983575961,0.11725496502132,0.943497141905766,0.997292401707753,0.0669085870112247,0.131478322924767,0.786604916280727,0.0412725652756341,0.703674278643343,0.0269630523149281,0.0864206503191461,0.574121436014019,0.842736893185763,0.741716716716717,0.873638981173865,0.621793103448276,0.00958529320894849,0.257088667908593,0.108612753882543,0.846009852216749,0.973270356335948,0.0151931034252004,0.0235172491827827,0.293669224555735,0.0649742913571337,0.704696673189824,0.98876880345406,0.51599024100755,0.430400270224624,0.617769784172662,0.159270212436918,0.298509854190034,0.317038893567797,0.258413907366651
"BIOCARTA_FXR_PATHWAY",8.85957160109529,-11.4073633839873,"8",1.25119688281711,-1.42317374641822,-1.23344699585614,-0.77388522267562,-1.45218283782903,-1.31427454957186,-1.27568943136971,-1.11037994504317,-1.21197512236516,-1.09310282473844,-1.52759576098825,-0.777163529323434,1.32221580968828,-1.5759076763341,1.15975029791875,-1.11915997150266,-0.566595063938609,-1.28329786287904,-1.41634590137455,-1.45133854236129,-1.45597063368013,-1.53996350393924,-1.60807891975742,-0.855939125223111,-1.08061579397096,-0.964343260408331,-1.08537074943167,-1.12275195885845,-1.42889226771803,-0.948175359339179,-1.13966187473077,-1.12873174670316,-1.1390962582612,0.857898087311172,-1.20522317579119,0.45352078371942,0.302915859081063,0.446594101123596,0.912023294457792,0.237044924449853,0.288525708386336,0.40265664160401,0.974090682610862,0.460994383191179,0.843134844939136,0.14300160812696,0.90641985684663,0.364454958994607,0.0439206350266256,0.856484984046577,0.824910906460605,1,0.404890040528868,0.531527036880685,0.205898968275206,0.250789302627913,0.0842045847039243,0.0750320354589366,0.790213096880337,0.609947818249786,0.696963134828564,0.714290377333856,0.71851195166798,0.325143390689609,0.708863316862105,0.792590125923459,0.551656797583082,0.614833442419649,0.816832744026572,0.436252121897987
"BIOCARTA_CBL_PATHWAY",-7.54173025971404,-9.23399969837942,"1",1.24704150712625,-0.748122587840054,0.75184355253303,1.08886091450572,0.590080752386899,-0.586109885192026,-1.40278758915021,-1.14005531787369,-1.43588313115287,-0.476205157525518,-0.677666929326181,1.42289072960432,0.94294698456536,1.48831452420889,-1.22939021940721,-1.22675425723319,-1.22428816075511,-1.81155989725227,-1.0733442472301,-1.61762774654716,1.56888621379241,1.16484411708847,1.77751762634012,-1.78545849819846,-1.35526876983006,-1.75312920344612,0.70271977415814,-0.772932903945708,-0.531121373022568,0.906572214660623,-0.692415555724182,0.355665258737938,-0.603927160805214,1.75721550942655,-0.365625148867236,0.447652169416145,0.978751778093883,0.911384381338742,0.683388157894737,0.997292401707753,0.966232777473499,0.215545141038111,0.93524861878453,0.265470974808324,1,0.941421315920113,0.299978340914013,0.716792452830189,0.195595500076043,0.789016958134605,0.720867469879518,0.670407115976736,0.0165681179978382,0.938748123550016,0.0731957216695338,0.148498221851748,0.630638263535867,0.0428109761938284,0.00541156356875273,0.310298956801792,0.0144718700918333,0.937644926898784,0.950404351720141,1,0.738955039364955,0.99080678226702,1,1,0.0526723696390482,1
"Endogenous.Retroviruses",11.4964682113553,-9.54272791645803,"8",1.24407413386565,-0.952354433211098,1.36173832926787,1.27000190773935,-0.949402509171867,-0.818137254002757,-1.0285420693578,-0.905066347682001,-1.36743100423684,-1.14010771348419,-0.959483001301821,0.92151865268983,-0.601260808498132,-0.970665609272112,-1.62774638211935,-0.624736209288768,-1.48967631139647,1.49505704368574,-0.547999482635466,-0.880790093937244,-1.73093744178854,-1.44083256194,-1.4584628550369,1.23987340027355,1.17442584253688,-0.798855040362021,-1.23069390645426,-0.945092922757597,-0.993199501329267,-1.73268150198764,-1.26850046167507,-1.17014395325187,0.804847807487922,-1.18704490716967,-0.936125945615915,0.448444520665409,0.84242665401509,0.379405779405779,0.456255939182768,0.889456371191136,0.806103596488709,0.614001122334456,0.991755167294736,0.291721111652852,0.787360808427991,0.710074944643161,0.741300677450767,0.974915099454924,0.721392725955818,0.102243650536082,1,0.293940939302523,0.220535346602608,1,0.850489074174489,0.0620138447446607,0.237206085753804,0.208767742745886,0.40061831595149,0.506453462247633,0.838589833339474,0.593910806174957,0.84733167251343,0.835603461754237,0.0269244051617084,0.664503696712286,0.512786383629757,0.951897810218978,0.410733752620545,0.810533117776109
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",2.92637601012239,-10.1470026662139,"2",1.22746948087571,1.37841283829447,-1.11974847507771,-1.21189014908284,1.02722089465334,-1.07887649581338,-1.57873402803779,-0.826238129652109,-1.46019883729938,1.0019585313402,-1.21235819791235,1.95884989856127,1.75044850906097,1.91951657818574,-1.0129978837062,-1.1096574732668,-0.992095395565669,-1.57169162511932,-0.703594739366019,-1.19863631582627,-1.00296124824823,-0.853770025433621,-1.25048285822877,-1.56504551786308,-1.07541555000536,-1.46084143182422,-1.31226728268991,-0.806050139086492,-1.29234442007748,-1.13467656629031,-0.721787691530342,-1.18812449213294,-0.998950376504242,1.6628341484192,-1.07557095073052,0.36289200032752,0.193836614698915,0.533798505198709,0.329761904761905,0.682382133995037,0.519269803100234,0.0454799097925893,0.999319701753632,0.0987415622816363,0.637673561336518,0.335606537711801,0.000428342926574135,0.0108914910437433,0.00193425354704937,0.91481705513292,0.785494568874363,0.948453608247423,0.0440199346816874,1,0.478303303303303,0.662970670309712,0.921179717143843,0.292657157950343,0.0196915253915055,0.556159330734861,0.0609852860671487,0.381717960496096,0.956177969858156,0.361691442346324,0.453284398810059,0.998768271412475,0.381177456024889,0.771876117588155,0.0190611174794648,0.598078358814555
"BIOCARTA_FLUMAZENIL_PATHWAY",7.65152325743684,-4.95728346607962,"9",1.19509233699301,-1.12406163127312,-1.19746928127806,0.862700509835635,-1.10089397754183,-1.11956360516514,0.971850352919947,-1.2285556963373,-0.754304197593093,-1.04411100183603,1.05691452905636,0.881559745667887,0.852469504731653,-0.661251129009347,1.245672057506,1.01521872034149,1.09082607517137,-0.867545263306226,-1.09372093738525,-1.38895999571004,-1.42327099890574,-1.33888010143928,-1.40561383573117,-0.615228459453139,-1.53531296181627,-0.861901016779553,-1.70737321303376,-1.65612050739213,-1.67852166653095,-1.42239623870298,-1.27760567769819,-1.56925859494641,0.762804775953444,1.3835003371003,0.626879063176681,0.5189352981115,0.743333187849162,0.503908394264761,0.870291442048517,0.751453657709946,0.537135788435499,0.658662943063271,0.823112767940354,0.88459837398374,0.8795397015368,0.593259630186245,0.799003101729486,0.810486274459535,0.955734265734266,0.836367367279336,0.863645811681563,0.819430533695808,0.818583234541175,0.938748123550016,0.31717328839631,0.265739297277851,0.358974358974359,0.226711130072877,0.933717507822908,0.115253133635255,0.791383349522884,0.0432813802828479,0.036164950602232,0.0346794608601942,0.224331628857436,0.632108615707906,0.125660042058649,0.993975169575283,0.306292405989753,1
